Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1751721260813,0000050C,false,1,3,0C,01,00
1751721260829,00000511,false,1,3,11,01,00
1751721260846,00000513,false,1,3,13,01,00
1751721260866,00000401,false,1,8,02,70,00,00,00,00,00,00
1751721260912,0000050C,false,1,3,11,02,00
1751721260923,0000028F,false,1,8,00,00,00,00,00,00,00,00
1751721260932,00000290,false,1,8,00,00,00,00,00,00,00,00
1751721260943,00000291,false,1,8,00,00,00,00,00,00,00,00
1751721260953,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721260963,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721260972,00000471,false,1,7,00,00,00,00,00,00,00
1751721260982,00000473,false,1,3,00,C0,00
1751721260995,00000593,false,1,0
1751721261002,0000058C,false,1,0
1751721261008,00000285,false,1,3,00,00,00
1751721261012,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261016,00000511,false,1,3,13,02,00
1751721261022,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721261027,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721261031,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721261058,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261106,00000513,false,1,3,0C,02,00
1751721261113,00000285,false,1,3,00,00,00
1751721261119,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261125,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721261132,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721261138,0000028F,false,1,8,00,00,00,00,00,00,00,00
1751721261144,00000290,false,1,8,00,00,00,00,00,00,00,00
1751721261150,00000291,false,1,8,00,00,00,00,00,00,00,00
1751721261155,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721261160,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261165,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721261175,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721261186,00000290,false,1,8,C0,20,20,20,20,20,20,20
1751721261205,00000291,false,1,8,87,20,20,20,20,20,20,20
1751721261210,00000285,false,1,3,00,00,00
1751721261214,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261218,0000050C,false,1,3,11,02,00
1751721261222,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721261226,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721261230,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721261236,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721261248,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721261260,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261269,00000401,false,1,8,02,70,00,00,00,00,00,00
1751721261308,00000285,false,1,3,00,00,00
1751721261312,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261316,00000511,false,1,3,13,02,00
1751721261323,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721261328,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721261332,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721261337,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721261346,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721261356,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721261362,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261368,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721261376,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721261396,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721261406,00000513,false,1,3,0C,02,00
1751721261410,00000285,false,1,3,00,00,00
1751721261414,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261419,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721261423,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721261427,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721261436,00000471,false,1,7,00,00,00,00,00,00,00
