timestamp,bus,id,len,b7,b6,b5,b4,b3,b2,b1,b0,,B0,B1,Time,RPM,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x06,,,,,,,,,,,,,
1.74719E+12,HS,0x82,8,0x00,0x00,0x16,0xFE,0x24,0xFF,0xFC,0x87,,,,,,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x07,,,,,,,,,,,,,
1.74719E+12,HS,0x4B0,8,0x10,0x27,0x10,0x27,0x10,0x27,0x10,0x27,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x211,8,0xC3,0x00,0x00,0x40,0x00,0x80,0xFF,0xFF,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x190,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x39E,8,0x3D,0x01,0x10,0x00,0x12,0x20,0x08,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x05,,,,,,,,,,,,,
1.74719E+12,HS,0x82,8,0x00,0x00,0x16,0xFE,0x24,0xFF,0xFC,0x8B,,,,,,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x06,,,,,,,,,,,,,
1.74719E+12,HS,0x200,8,0x00,0x80,0x1D,0x27,0x07,0x27,0x1D,0x27,,,,,,,,,,,,,
1.74719E+12,HS,0x4EC,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x4B0,8,0x10,0x27,0x10,0x27,0x10,0x27,0x10,0x27,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x190,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x4EC,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x06,,,,,,,,,,,,,
1.74719E+12,HS,0x82,8,0x00,0x00,0x16,0xFE,0x24,0xFF,0xFC,0x81,,,,,,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x07,,,,,,,,,,,,,
1.74719E+12,HS,0x4B0,8,0x10,0x27,0x10,0x27,0x10,0x27,0x10,0x27,,,,,,,,,,,,,
1.74719E+12,HS,0x501,8,0xAA,0x55,0xAA,0x55,0xAA,0x55,0xAA,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x211,8,0xCC,0x00,0x00,0x40,0x00,0x80,0xFF,0xFF,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x405,8,0x10,0x00,0xFF,0xFF,0xFF,0xFF,0x67,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x190,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x39E,8,0x3D,0x01,0x10,0x00,0x12,0x20,0x08,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x07,,,,,,,,,,,,,
1.74719E+12,HS,0x82,8,0x00,0x00,0x16,0xFE,0x24,0xFF,0xFC,0x86,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x4B0,8,0x10,0x27,0x10,0x27,0x10,0x27,0x10,0x27,,,,,,,,,,,,,
1.74719E+12,HS,0x4EC,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x06,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x190,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,,,,,,,,,,,,
1.74719E+12,HS,0x4EC,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,,,,,,,,,,,,,
1.74719E+12,HS,0x201,8,0x00,0x00,0x00,0x00,0x00,0x40,0x0D,0x04,,1024,13,1.74719E+12,1037,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x07,,1792,0,1.74719E+12,1792,,,,,,,,
1.74719E+12,HS,0xFD,8,0x00,0x00,0x00,0x1E,0x00,0x00,0x00,0x63,,25344,0,1.74719E+12,25344,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,256,75,1.74719E+12,331,,,,,,,,
1.74719E+12,HS,0x211,8,0xD5,0x00,0x00,0x40,0x00,0x80,0xFF,0xFF,,65280,255,1.74719E+12,65535,,,,,,,,
1.74719E+12,HS,0x501,8,0xAA,0x55,0xAA,0x55,0xAA,0x55,0xAA,0x00,,0,170,1.74719E+12,170,,,,,,,,
1.74719E+12,HS,0x433,8,0x00,0x12,0x00,0x00,0x01,0x3D,0x01,0x00,,0,1,1.74719E+12,1,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,256,75,1.74719E+12,331,,,,,,,,
1.74719E+12,HS,0x400,8,0x02,0x00,0x00,0x01,0x00,0x00,0x00,0x06,,1536,0,1.74719E+12,1536,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,256,75,1.74719E+12,331,,,,,,,,
1.74719E+12,HS,0x250,8,0x04,0x00,0x14,0x3D,0x21,0x95,0x5B,0x3D,,15616,91,1.74719E+12,15707,,,,,,,,
1.74719E+12,HS,0x39E,8,0x3D,0x01,0x10,0x00,0x12,0x20,0x08,0x00,,0,8,1.74719E+12,8,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,256,75,1.74719E+12,331,,,,,,,,
1.74719E+12,HS,0x4B0,8,0x10,0x27,0x10,0x27,0x10,0x27,0x10,0x27,,9984,16,1.74719E+12,10000,,,,,,,,
1.74719E+12,HS,0x231,8,0x00,0x80,0x00,0xFF,0x00,0x00,0x4B,0x01,,256,75,1.74719E+12,331,,,,,,,,
1.74719E+12,HS,0x20F,8,0x00,0x2C,0x9C,0x00,0x10,0x27,0x00,0x00,,0,0,1.74719E+12,0,,,,,,,,
1.74719E+12,HS,0x4F1,8,0x5C,0x5C,0x64,0xFF,0xFF,0x9A,0x01,0x41,,16640,1,1.74719E+12,16641,,,,,,,,
1.74719E+12,HS,0x240,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x06,,1536,0,1.74719E+12,1536,,,,,,,,
